TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC,odds_ratio,fisher_p_value,fisher_adj_pvalue,chi2_p_value,chi2_adj_pvalue
ZFP959,5758,1747,1.082072513,0.328305085,3.29593589,1.720688181,1.720688181,1.410377598,2.426820063,3.2959358900973097,2.8443207549290487e-257,1.0381770755491028e-254,9.518309261099244e-253,3.474182880301224e-250
ZHX1,2468,85,0.463799055,0.01597363,29.03529412,4.859735743,4.859735743,0.479772686,2.33156847,29.03529411764706,0.0,0.0,1.23089248800133e-310,4.492757581204837e-308
EGR1,7979,3877,1.499454078,0.728585469,2.058034563,1.041267211,1.041267211,2.228039547,2.319984525,2.0580345628062937,7.073842043399638e-162,2.581952345840868e-159,6.019943615438253e-161,2.1972794196349625e-158
GMEB1,5120,1380,0.962176323,0.259336587,3.710144928,1.891475543,1.891475543,1.22151291,2.310461794,3.710144927536232,2.380739007364267e-262,8.689697376879575e-260,8.181378243864798e-257,2.9862030590106514e-254
TIGD1,3633,511,0.682731754,0.096029707,7.109589041,2.829766169,2.829766169,0.778761461,2.203712837,7.109589041095891,1.629542906e-315,5.94783160626e-313,1.3084870449890636e-299,4.775977714210082e-297
FOXA2,3903,687,0.733471521,0.129104518,5.681222707,2.506201459,2.506201459,0.862576039,2.161789328,5.681222707423581,2.605830449757316e-292,9.511281141614203e-290,6.593397605351879e-281,2.4065901259534358e-278
EGR2,12922,9166,2.428367664,1.722521127,1.409775256,0.495465189,0.495465189,4.150888792,2.056620901,1.4097752563822823,6.075618424944799e-72,2.2176007251048518e-69,7.428677236521046e-72,2.7114671913301817e-69
DMRT2,1956,71,0.367581423,0.013342679,27.54929577,4.783943535,4.783943535,0.380924103,1.822319399,27.549295774647888,1.5166504482966226e-280,5.5357741362826724e-278,1.1771259046196483e-244,4.296509551861716e-242
KLF12,3129,541,0.588017522,0.101667459,5.783733826,2.532001159,2.532001159,0.689684981,1.746283172,5.78373382624769,1.0131321069836777e-237,3.697932190490423e-235,2.9198061557904616e-228,1.0657292468635184e-225
MYRF,2130,134,0.400280384,0.025181958,15.89552239,3.990548525,3.990548525,0.425462343,1.697828124,15.895522388059701,1.5707823939133943e-264,5.733355737783889e-262,5.226438179899332e-239,1.9076499356632563e-236
KDM2A,2995,585,0.562835564,0.109936162,5.11965812,2.356047473,2.356047473,0.672771726,1.585082124,5.119658119658119,1.067867907406375e-207,3.8977178620332688e-205,1.251387775498874e-200,4.56756538057089e-198
SEBOX,2162,179,0.406293986,0.033638586,12.07821229,3.59433503,3.59433503,0.439932572,1.581265056,12.078212290502794,6.958697757841387e-244,2.5399246816121062e-241,3.9992201595854377e-224,1.4597153582486847e-221
HES4,3384,869,0.635938413,0.16330688,3.894131185,1.961301486,1.961301486,0.799245293,1.567560981,3.894131185270426,3.042549102616789e-183,1.110530422455128e-180,6.077459997254539e-179,2.2182728989979068e-176
PITX2,31321,28478,5.886000898,5.351729944,1.099831449,0.137282445,0.137282445,11.23773084,1.542743167,1.0998314488376992,2.0244137029059293e-16,7.389110015606642e-14,2.0804169671731207e-16,7.59352193018189e-14
ELF3,9461,6734,1.777959021,1.265487374,1.404959905,0.490528959,0.490528959,3.043446395,1.492898592,1.4049599049599049,3.035804539072608e-52,1.1080686567615018e-49,3.8063861996444626e-52,1.3893309628702289e-49
CXXC4,17689,15070,3.324206439,2.832030699,1.173788985,0.231173075,0.231173075,6.156237139,1.423156267,1.17378898473789,1.3466712846100597e-24,4.915350188826718e-22,1.4219363847260387e-24,5.190067804250041e-22
TIGD6,2818,614,0.529572828,0.115385989,4.589576547,2.198361051,2.198361051,0.644958816,1.417852341,4.58957654723127,1.6150149174082944e-178,5.8948044485402744e-176,2.6583558446752933e-173,9.702998833064821e-171
MNT,1193,16,0.2241946,0.003006801,74.5625,6.220378328,6.220378328,0.227201401,1.413278672,74.5625,1.0819189174383208e-198,3.9490040486498712e-196,9.515575917136079e-165,3.473185209754669e-162
RUNX3,2676,542,0.502887469,0.101855384,4.937269373,2.303713359,2.303713359,0.604742853,1.393154189,4.937269372693727,2.042619771518525e-180,7.455562166042617e-178,1.4071914779498044e-174,5.1362488945167863e-172
